FID,GSS_CD,City,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,13-Mar,14-Mar,15-Mar,Number of confirmed cases,Country
0.0,E09000002,Barking and Dagenham,0,0,0,1,0,4,5,7,10.0,England
1.0,E09000003,Barnet,3,4,5,8,0,14,23,25,25.0,England
2.0,E08000016,Barnsley,2,2,2,2,0,2,3,5,4.0,England
3.0,E06000022,Bath and North East Somerset,0,0,0,0,2,0,1,2,1.0,England
4.0,E06000055,Bedford,0,0,0,0,0,0,0,0,0.0,England
5.0,E09000004,Bexley,0,0,0,0,0,1,5,7,8.0,England
6.0,E08000025,Birmingham,1,1,1,1,1,2,5,8,15.0,England
7.0,E06000008,Blackburn with Darwen,0,0,0,0,0,0,0,0,0.0,England
8.0,E06000009,Blackpool,0,0,0,0,0,2,1,3,2.0,England
9.0,E08000001,Bolton,1,2,3,3,1,3,3,3,3.0,England
10.0,E06000058,"Bournemouth, Christchurch and Poole",0,2,2,3,0,3,4,5,5.0,England
11.0,E06000036,Bracknell Forest,2,2,2,2,0,4,3,5,4.0,England
12.0,E08000032,Bradford,1,1,1,1,1,4,4,6,7.0,England
13.0,E09000005,Brent,1,3,3,3,3,4,14,20,20.0,England
14.0,E06000043,Brighton and Hove,7,7,8,8,1,9,9,10,10.0,England
15.0,E06000023,"Bristol, City of",1,2,2,2,0,5,4,5,7.0,England
16.0,E09000006,Bromley,1,1,1,2,0,4,5,7,11.0,England
17.0,E10000002,Buckinghamshire,1,1,1,2,3,7,13,15,12.0,England
18.0,E08000002,Bury,4,3,3,3,1,3,3,3,6.0,England
19.0,E08000033,Calderdale,0,0,0,0,0,2,3,5,2.0,England
20.0,E10000003,Cambridgeshire,0,0,0,1,0,1,4,7,12.0,England
21.0,E09000007,Camden,2,2,4,5,0,13,19,22,22.0,England
22.0,E06000056,Central Bedfordshire,0,0,0,0,3,0,1,3,4.0,England
23.0,E06000049,Cheshire East,0,0,0,0,0,0,1,1,0.0,England
24.0,E06000050,Cheshire West and Chester,0,0,0,0,1,3,3,4,4.0,England
25.0,E06000052,Cornwall and Isles of Scilly,2,3,4,4,0,5,4,5,8.0,England
26.0,E06000047,County Durham,0,0,0,1,7,1,1,1,1.0,England
27.0,E08000026,Coventry,1,3,2,3,2,3,3,2,3.0,England
28.0,E09000008,Croydon,0,0,0,1,1,1,1,2,4.0,England
29.0,E10000006,Cumbria,4,5,5,7,2,8,9,10,10.0,England
30.0,E06000005,Darlington,0,0,0,0,1,0,2,2,2.0,England
31.0,E06000015,Derby,0,0,0,0,0,1,3,5,4.0,England
32.0,E10000007,Derbyshire,3,4,4,4,2,4,9,11,12.0,England
33.0,E10000008,Devon,10,12,12,13,2,14,14,15,20.0,England
34.0,E08000017,Doncaster,0,0,0,0,0,0,2,2,2.0,England
35.0,E06000059,Dorset,0,0,0,0,0,1,1,1,2.0,England
36.0,E08000027,Dudley,0,0,1,1,1,4,4,4,6.0,England
37.0,E09000009,Ealing,5,5,5,5,1,8,18,20,18.0,England
38.0,E06000011,East Riding of Yorkshire,0,0,0,0,3,1,2,3,4.0,England
39.0,E10000011,East Sussex,0,0,0,0,2,0,1,1,2.0,England
40.0,E09000010,Enfield,0,0,1,1,8,2,5,6,8.0,England
41.0,E10000012,Essex,3,5,5,5,0,9,8,14,20.0,England
42.0,E08000037,Gateshead,0,0,0,0,0,1,1,1,1.0,England
43.0,E10000013,Gloucestershire,3,3,3,3,1,5,6,6,6.0,England
44.0,E09000011,Greenwich,0,0,0,1,1,1,10,13,18.0,England
45.0,E09000012,Hackney and City of London,2,2,2,3,0,5,11,13,20.0,England
46.0,E06000006,Halton,0,0,0,0,0,0,0,0,0.0,England
47.0,E09000013,Hammersmith and Fulham,1,2,2,2,2,5,10,19,21.0,England
48.0,E10000014,Hampshire,2,8,8,10,5,20,41,53,55.0,England
49.0,E09000014,Haringey,0,0,0,1,4,3,9,11,16.0,England
50.0,E09000015,Harrow,1,1,1,1,0,2,10,12,14.0,England
51.0,E06000001,Hartlepool,0,0,0,0,4,0,0,0,0.0,England
52.0,E09000016,Havering,0,0,2,2,0,1,2,5,5.0,England
